cluster,main_genres
0,"Pop, Reggaeton, Rock"
1,"Death Metal, Technical Death Metal, Black Metal"
2,"Classical, Ambient, Electronic"
3,"Classical, Jazz, Electronic"
4,"Pop, Rock, Reggaeton"
5,"Pop, Reggaeton, EDM"
6,"Death Metal, Technical Death Metal, Grindcore"
7,"Jazz, Pop, MPB"
8,"Pop, Rock, Indie Rock"
9,"Classical, Jazz, Electronic"
10,"Death Metal, Technical Death Metal, Black Metal"
11,"Pop, EDM, Death Metal"
12,"Hip Hop, Reggaeton, Pop"
13,"Pop, Jazz, MPB"
14,"Classical, Jazz, Opera"
15,"Hip Hop, Pop, Reggaeton"
16,"Pop, EDM, Rock"
17,"Death Metal, Grindcore, Technical Death Metal"
18,"Pop, Jazz, Rock"
19,"Death Metal, Classical, Pop"
20,"Death Metal, Black Metal, Technical Death Metal"
21,"Death Metal, Black Metal, Technical Death Metal"
